Cp	Case=Cpd
SLM	Case=Loc|Gender=Masc|Number=Sing
SNF	Case=Nom|Gender=Fem|Number=Sing
SNPaF	Case=Nom|Gender=Fem|Number=Sing|VerbForm=Part
SIM	Case=Ins|Gender=Masc|Number=Sing
SAM	Case=Acc|Gender=Masc|Number=Sing
SPs3In	Tense=Past|Mood=Ind|Person=3|Number=Sing
SPr1In	Tense=Pres|Mood=Ind|Person=1|Number=Sing
	
SPr2In	Tense=Pres|Mood=Ind|Person=2|Number=Sing
SNM	Case=Nom|Gender=Masc|Number=Sing
SNNeGd	Case=Nom|Gender=Neut|Number=Sing|VerbForm=Gdv
SI	Case=Ins|Number=Sing
SG	Case=Gen|Number=Sing
SLPaNe	Case=Loc|Gender=Neut|Number=Sing|VerbForm=Part
SNNe	Case=Nom|Gender=Neut|Number=Sing
SLNe	Case=Loc|Gender=Neut|Number=Sing
S3ImIn	Tense=Impf|Mood=Ind|Person=3|Number=Sing
SPr3O	Tense=Pres|Mood=Opt|Person=3|Number=Sing
SIPaF	Case=Ins|Gender=Fem|Number=Sing|VerbForm=Part
SIF	Case=Ins|Gender=Fem|Number=Sing
SNPaNe	Case=Nom|Gender=Neut|Number=Sing|VerbForm=Part
SPr3In	Tense=Pres|Mood=Ind|Person=3|Number=Sing
SAF	Case=Acc|Gender=Fem|Number=Sing
SBNe	Case=Abl|Gender=Neut|Number=Sing
SBM	Case=Abl|Gender=Masc|Number=Sing
Co	VerbForm=Conv
SANe	Case=Acc|Gender=Neut|Number=Sing
SNPaM	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part
SPr3InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing
PNM	Case=Nom|Gender=Masc|Number=Plur
PPr3In	Tense=Pres|Mood=Ind|Person=3|Number=Plur
PNPaM	Case=Nom|Gender=Masc|Number=Plur|VerbForm=Part
PNF	Case=Nom|Gender=Fem|Number=Plur
SIPaPrF	Case=Ins|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part
SVM	Case=Voc|Gender=Masc|Number=Sing
DuINe	Case=Ins|Gender=Neut|Number=Dual
SAPaNe	Case=Acc|Gender=Neut|Number=Sing|VerbForm=Part
